Code,Glyph,Description,CharacterSet,is_unicode,CodeEscaped,ASCII
U+00A1,¡,Inverted Exclamation Mark,Table_Latin-1_Supplement,TRUE,\u00A1,!
U+00A2,¢,Cent sign,Table_Latin-1_Supplement,TRUE,\u00A2,cent
U+00A3,£,Pound sign,Table_Latin-1_Supplement,TRUE,\u00A3,pound
U+00A4,¤,Currency sign,Table_Latin-1_Supplement,TRUE,\u00A4,currency
U+00A5,¥,Yen sign,Table_Latin-1_Supplement,TRUE,\u00A5,yen
U+00A6,¦,Broken bar,Table_Latin-1_Supplement,TRUE,\u00A6,|
U+00A7,§,Section sign,Table_Latin-1_Supplement,TRUE,\u00A7,S
U+00A8,¨,Diaeresis (Umlaut),Table_Latin-1_Supplement,TRUE,\u00A8,XunicodeX
U+00A9,©,Copyright sign,Table_Latin-1_Supplement,TRUE,\u00A9,C
U+00AA,ª,Feminine Ordinal Indicator,Table_Latin-1_Supplement,TRUE,\u00AA,a
U+00AB,«,Left-pointing double angle quotation mark,Table_Latin-1_Supplement,TRUE,\u00AB,""""
U+00AC,¬,Not sign,Table_Latin-1_Supplement,TRUE,\u00AC,not
U+00AE,®,Registered sign,Table_Latin-1_Supplement,TRUE,\u00AE,R
U+00AF,¯,macron,Table_Latin-1_Supplement,TRUE,\u00AF,-
U+00B0,°,Degree sign,Table_Latin-1_Supplement,TRUE,\u00B0,deg
U+00B1,±,Plus-minus sign,Table_Latin-1_Supplement,TRUE,\u00B1,+-
U+00B2,²,Superscript two,Table_Latin-1_Supplement,TRUE,\u00B2,2
U+00B3,³,Superscript three,Table_Latin-1_Supplement,TRUE,\u00B3,3
U+00B4,´,Acute accent,Table_Latin-1_Supplement,TRUE,\u00B4,^
U+00B5,µ,Micro sign,Table_Latin-1_Supplement,TRUE,\u00B5,mu
U+00B6,¶,Pilcrow sign,Table_Latin-1_Supplement,TRUE,\u00B6,paragraph
U+00B7,·,Middle dot,Table_Latin-1_Supplement,TRUE,\u00B7,.
U+00B8,¸,Cedilla,Table_Latin-1_Supplement,TRUE,\u00B8,","
U+00B9,¹,Superscript one,Table_Latin-1_Supplement,TRUE,\u00B9,1
U+00BA,º,Masculine ordinal indicator,Table_Latin-1_Supplement,TRUE,\u00BA,o
U+00BB,»,Right-pointing double angle quotation mark,Table_Latin-1_Supplement,TRUE,\u00BB,""""
U+00BC,¼,Vulgar fraction one quarter,Table_Latin-1_Supplement,TRUE,\u00BC,1/4
U+00BD,½,Vulgar fraction one half,Table_Latin-1_Supplement,TRUE,\u00BD,1/2
U+00BE,¾,Vulgar fraction three quarters,Table_Latin-1_Supplement,TRUE,\u00BE,3/4
U+00BF,¿,Inverted Question Mark,Table_Latin-1_Supplement,TRUE,\u00BF,?
U+00C0,À,Latin Capital Letter A with grave,Table_Latin-1_Supplement,TRUE,\u00C0,A
U+00C1,Á,Latin Capital letter A with acute,Table_Latin-1_Supplement,TRUE,\u00C1,A
U+00C2,Â,Latin Capital letter A with circumflex,Table_Latin-1_Supplement,TRUE,\u00C2,A
U+00C3,Ã,Latin Capital letter A with tilde,Table_Latin-1_Supplement,TRUE,\u00C3,A
U+00C4,Ä,Latin Capital letter A with diaeresis,Table_Latin-1_Supplement,TRUE,\u00C4,A
U+00C5,Å,Latin Capital letter A with ring above,Table_Latin-1_Supplement,TRUE,\u00C5,A
U+00C6,Æ,Latin Capital letter Æ,Table_Latin-1_Supplement,TRUE,\u00C6,A
U+00C7,Ç,Latin Capital letter C with cedilla,Table_Latin-1_Supplement,TRUE,\u00C7,C
U+00C8,È,Latin Capital letter E with grave,Table_Latin-1_Supplement,TRUE,\u00C8,E
U+00C9,É,Latin Capital letter E with acute,Table_Latin-1_Supplement,TRUE,\u00C9,E
U+00CA,Ê,Latin Capital letter E with circumflex,Table_Latin-1_Supplement,TRUE,\u00CA,E
U+00CB,Ë,Latin Capital letter E with diaeresis,Table_Latin-1_Supplement,TRUE,\u00CB,E
U+00CC,Ì,Latin Capital letter I with grave,Table_Latin-1_Supplement,TRUE,\u00CC,I
U+00CD,Í,Latin Capital letter I with acute,Table_Latin-1_Supplement,TRUE,\u00CD,I
U+00CE,Î,Latin Capital letter I with circumflex,Table_Latin-1_Supplement,TRUE,\u00CE,I
U+00CF,Ï,Latin Capital letter I with diaeresis,Table_Latin-1_Supplement,TRUE,\u00CF,I
U+00D0,Ð,Latin Capital letter Eth,Table_Latin-1_Supplement,TRUE,\u00D0,Eth
U+00D1,Ñ,Latin Capital letter N with tilde,Table_Latin-1_Supplement,TRUE,\u00D1,N
U+00D2,Ò,Latin Capital letter O with grave,Table_Latin-1_Supplement,TRUE,\u00D2,O
U+00D3,Ó,Latin Capital letter O with acute,Table_Latin-1_Supplement,TRUE,\u00D3,O
U+00D4,Ô,Latin Capital letter O with circumflex,Table_Latin-1_Supplement,TRUE,\u00D4,O
U+00D5,Õ,Latin Capital letter O with tilde,Table_Latin-1_Supplement,TRUE,\u00D5,O
U+00D6,Ö,Latin Capital letter O with diaeresis,Table_Latin-1_Supplement,TRUE,\u00D6,O
U+00D7,×,Multiplication sign,Table_Latin-1_Supplement,TRUE,\u00D7,*
U+00D8,Ø,Latin Capital letter O with stroke,Table_Latin-1_Supplement,TRUE,\u00D8,O
U+00D9,Ù,Latin Capital letter U with grave,Table_Latin-1_Supplement,TRUE,\u00D9,U
U+00DA,Ú,Latin Capital letter U with acute,Table_Latin-1_Supplement,TRUE,\u00DA,U
U+00DB,Û,Latin Capital Letter U with circumflex,Table_Latin-1_Supplement,TRUE,\u00DB,U
U+00DC,Ü,Latin Capital Letter U with diaeresis,Table_Latin-1_Supplement,TRUE,\u00DC,U
U+00DD,Ý,Latin Capital Letter Y with acute,Table_Latin-1_Supplement,TRUE,\u00DD,Y
U+00DE,Þ,Latin Capital Letter Thorn,Table_Latin-1_Supplement,TRUE,\u00DE,Th
U+00DF,ß,Latin Small Letter sharp S,Table_Latin-1_Supplement,TRUE,\u00DF,S
U+00E0,à,Latin Small Letter A with grave,Table_Latin-1_Supplement,TRUE,\u00E0,a
U+00E1,á,Latin Small Letter A with acute,Table_Latin-1_Supplement,TRUE,\u00E1,a
U+00E2,â,Latin Small Letter A with circumflex,Table_Latin-1_Supplement,TRUE,\u00E2,a
U+00E3,ã,Latin Small Letter A with tilde,Table_Latin-1_Supplement,TRUE,\u00E3,a
U+00E4,ä,Latin Small Letter A with diaeresis,Table_Latin-1_Supplement,TRUE,\u00E4,a
U+00E5,å,Latin Small Letter A with ring above,Table_Latin-1_Supplement,TRUE,\u00E5,a
U+00E6,æ,Latin Small Letter Æ,Table_Latin-1_Supplement,TRUE,\u00E6,a
U+00E7,ç,Latin Small Letter C with cedilla,Table_Latin-1_Supplement,TRUE,\u00E7,c
U+00E8,è,Latin Small Letter E with grave,Table_Latin-1_Supplement,TRUE,\u00E8,e
U+00E9,é,Latin Small Letter E with acute,Table_Latin-1_Supplement,TRUE,\u00E9,e
U+00EA,ê,Latin Small Letter E with circumflex,Table_Latin-1_Supplement,TRUE,\u00EA,e
U+00EB,ë,Latin Small Letter E with diaeresis,Table_Latin-1_Supplement,TRUE,\u00EB,e
U+00EC,ì,Latin Small Letter I with grave,Table_Latin-1_Supplement,TRUE,\u00EC,i
U+00ED,í,Latin Small Letter I with acute,Table_Latin-1_Supplement,TRUE,\u00ED,i
U+00EE,î,Latin Small Letter I with circumflex,Table_Latin-1_Supplement,TRUE,\u00EE,i
U+00EF,ï,Latin Small Letter I with diaeresis,Table_Latin-1_Supplement,TRUE,\u00EF,i
U+00F0,ð,Latin Small Letter Eth,Table_Latin-1_Supplement,TRUE,\u00F0,eth
U+00F1,ñ,Latin Small Letter N with tilde,Table_Latin-1_Supplement,TRUE,\u00F1,n
U+00F2,ò,Latin Small Letter O with grave,Table_Latin-1_Supplement,TRUE,\u00F2,o
U+00F3,ó,Latin Small Letter O with acute,Table_Latin-1_Supplement,TRUE,\u00F3,o
U+00F4,ô,Latin Small Letter O with circumflex,Table_Latin-1_Supplement,TRUE,\u00F4,o
U+00F5,õ,Latin Small Letter O with tilde,Table_Latin-1_Supplement,TRUE,\u00F5,o
U+00F6,ö,Latin Small Letter O with diaeresis,Table_Latin-1_Supplement,TRUE,\u00F6,o
U+00F7,÷,Division sign,Table_Latin-1_Supplement,TRUE,\u00F7,/
U+00F8,ø,Latin Small Letter O with stroke,Table_Latin-1_Supplement,TRUE,\u00F8,o
U+00F9,ù,Latin Small Letter U with grave,Table_Latin-1_Supplement,TRUE,\u00F9,u
U+00FA,ú,Latin Small Letter U with acute,Table_Latin-1_Supplement,TRUE,\u00FA,u
U+00FB,û,Latin Small Letter U with circumflex,Table_Latin-1_Supplement,TRUE,\u00FB,u
U+00FC,ü,Latin Small Letter U with diaeresis,Table_Latin-1_Supplement,TRUE,\u00FC,u
U+00FD,ý,Latin Small Letter Y with acute,Table_Latin-1_Supplement,TRUE,\u00FD,y
U+00FE,þ,Latin Small Letter Thorn,Table_Latin-1_Supplement,TRUE,\u00FE,th
U+00FF,ÿ,Latin Small Letter Y with diaeresis,Table_Latin-1_Supplement,TRUE,\u00FF,y
U+0100,Ā,Latin Capital Letter A with macron,Table_Latin_Extended-A,TRUE,\u0100,A
U+0101,ā,Latin Small Letter A with macron,Table_Latin_Extended-A,TRUE,\u0101,a
U+0102,Ă,Latin Capital Letter A with breve,Table_Latin_Extended-A,TRUE,\u0102,A
U+0103,ă,Latin Small Letter A with breve,Table_Latin_Extended-A,TRUE,\u0103,a
U+0104,Ą,Latin Capital Letter A with ogonek,Table_Latin_Extended-A,TRUE,\u0104,A
U+0105,ą,Latin Small Letter A with ogonek,Table_Latin_Extended-A,TRUE,\u0105,a
U+0106,Ć,Latin Capital Letter C with acute,Table_Latin_Extended-A,TRUE,\u0106,C
U+0107,ć,Latin Small Letter C with acute,Table_Latin_Extended-A,TRUE,\u0107,c
U+0108,Ĉ,Latin Capital Letter C with circumflex,Table_Latin_Extended-A,TRUE,\u0108,C
U+0109,ĉ,Latin Small Letter C with circumflex,Table_Latin_Extended-A,TRUE,\u0109,c
U+010A,Ċ,Latin Capital Letter C with dot above,Table_Latin_Extended-A,TRUE,\u010A,C
U+010B,ċ,Latin Small Letter C with dot above,Table_Latin_Extended-A,TRUE,\u010B,c
U+010C,Č,Latin Capital Letter C with caron,Table_Latin_Extended-A,TRUE,\u010C,C
U+010D,č,Latin Small Letter C with caron,Table_Latin_Extended-A,TRUE,\u010D,c
U+010E,Ď,Latin Capital Letter D with caron,Table_Latin_Extended-A,TRUE,\u010E,D
U+010F,ď,Latin Small Letter D with caron,Table_Latin_Extended-A,TRUE,\u010F,d
U+0110,Đ,Latin Capital Letter D with stroke,Table_Latin_Extended-A,TRUE,\u0110,D
U+0111,đ,Latin Small Letter D with stroke,Table_Latin_Extended-A,TRUE,\u0111,d
U+0112,Ē,Latin Capital Letter E with macron,Table_Latin_Extended-A,TRUE,\u0112,E
U+0113,ē,Latin Small Letter E with macron,Table_Latin_Extended-A,TRUE,\u0113,e
U+0114,Ĕ,Latin Capital Letter E with breve,Table_Latin_Extended-A,TRUE,\u0114,E
U+0115,ĕ,Latin Small Letter E with breve,Table_Latin_Extended-A,TRUE,\u0115,e
U+0116,Ė,Latin Capital Letter E with dot above,Table_Latin_Extended-A,TRUE,\u0116,E
U+0117,ė,Latin Small Letter E with dot above,Table_Latin_Extended-A,TRUE,\u0117,e
U+0118,Ę,Latin Capital Letter E with ogonek,Table_Latin_Extended-A,TRUE,\u0118,E
U+0119,ę,Latin Small Letter E with ogonek,Table_Latin_Extended-A,TRUE,\u0119,e
U+011A,Ě,Latin Capital Letter E with caron,Table_Latin_Extended-A,TRUE,\u011A,E
U+011B,ě,Latin Small Letter E with caron,Table_Latin_Extended-A,TRUE,\u011B,e
U+011C,Ĝ,Latin Capital Letter G with circumflex,Table_Latin_Extended-A,TRUE,\u011C,G
U+011D,ĝ,Latin Small Letter G with circumflex,Table_Latin_Extended-A,TRUE,\u011D,g
U+011E,Ğ,Latin Capital Letter G with breve,Table_Latin_Extended-A,TRUE,\u011E,G
U+011F,ğ,Latin Small Letter G with breve,Table_Latin_Extended-A,TRUE,\u011F,g
U+0120,Ġ,Latin Capital Letter G with dot above,Table_Latin_Extended-A,TRUE,\u0120,G
U+0121,ġ,Latin Small Letter G with dot above,Table_Latin_Extended-A,TRUE,\u0121,g
U+0122,Ģ,Latin Capital Letter G with cedilla,Table_Latin_Extended-A,TRUE,\u0122,G
U+0123,ģ,Latin Small Letter G with cedilla,Table_Latin_Extended-A,TRUE,\u0123,g
U+0124,Ĥ,Latin Capital Letter H with circumflex,Table_Latin_Extended-A,TRUE,\u0124,H
U+0125,ĥ,Latin Small Letter H with circumflex,Table_Latin_Extended-A,TRUE,\u0125,h
U+0126,Ħ,Latin Capital Letter H with stroke,Table_Latin_Extended-A,TRUE,\u0126,H
U+0127,ħ,Latin Small Letter H with stroke,Table_Latin_Extended-A,TRUE,\u0127,h
U+0128,Ĩ,Latin Capital Letter I with tilde,Table_Latin_Extended-A,TRUE,\u0128,I
U+0129,ĩ,Latin Small Letter I with tilde,Table_Latin_Extended-A,TRUE,\u0129,i
U+012A,Ī,Latin Capital Letter I with macron,Table_Latin_Extended-A,TRUE,\u012A,I
U+012B,ī,Latin Small Letter I with macron,Table_Latin_Extended-A,TRUE,\u012B,i
U+012C,Ĭ,Latin Capital Letter I with breve,Table_Latin_Extended-A,TRUE,\u012C,I
U+012D,ĭ,Latin Small Letter I with breve,Table_Latin_Extended-A,TRUE,\u012D,i
U+012E,Į,Latin Capital Letter I with ogonek,Table_Latin_Extended-A,TRUE,\u012E,I
U+012F,į,Latin Small Letter I with ogonek,Table_Latin_Extended-A,TRUE,\u012F,i
U+0130,İ,Latin Capital Letter I with dot above,Table_Latin_Extended-A,TRUE,\u0130,I
U+0131,ı,Latin Small Letter dotless I,Table_Latin_Extended-A,TRUE,\u0131,i
U+0132,Ĳ,Latin Capital Ligature IJ,Table_Latin_Extended-A,TRUE,\u0132,IJ
U+0133,ĳ,Latin Small Ligature IJ,Table_Latin_Extended-A,TRUE,\u0133,ij
U+0134,Ĵ,Latin Capital Letter J with circumflex,Table_Latin_Extended-A,TRUE,\u0134,J
U+0135,ĵ,Latin Small Letter J with circumflex,Table_Latin_Extended-A,TRUE,\u0135,j
U+0136,Ķ,Latin Capital Letter K with cedilla,Table_Latin_Extended-A,TRUE,\u0136,K
U+0137,ķ,Latin Small Letter K with cedilla,Table_Latin_Extended-A,TRUE,\u0137,k
U+0138,ĸ,Latin Small Letter Kra,Table_Latin_Extended-A,TRUE,\u0138,kra
U+0139,Ĺ,Latin Capital Letter L with acute,Table_Latin_Extended-A,TRUE,\u0139,L
U+013A,ĺ,Latin Small Letter L with acute,Table_Latin_Extended-A,TRUE,\u013A,l
U+013B,Ļ,Latin Capital Letter L with cedilla,Table_Latin_Extended-A,TRUE,\u013B,L
U+013C,ļ,Latin Small Letter L with cedilla,Table_Latin_Extended-A,TRUE,\u013C,l
U+013D,Ľ,Latin Capital Letter L with caron,Table_Latin_Extended-A,TRUE,\u013D,L
U+013E,ľ,Latin Small Letter L with caron,Table_Latin_Extended-A,TRUE,\u013E,l
U+013F,Ŀ,Latin Capital Letter L with middle dot,Table_Latin_Extended-A,TRUE,\u013F,L
U+0140,ŀ,Latin Small Letter L with middle dot,Table_Latin_Extended-A,TRUE,\u0140,l
U+0141,Ł,Latin Capital Letter L with stroke,Table_Latin_Extended-A,TRUE,\u0141,L
U+0142,ł,Latin Small Letter L with stroke,Table_Latin_Extended-A,TRUE,\u0142,l
U+0143,Ń,Latin Capital Letter N with acute,Table_Latin_Extended-A,TRUE,\u0143,N
U+0144,ń,Latin Small Letter N with acute,Table_Latin_Extended-A,TRUE,\u0144,n
U+0145,Ņ,Latin Capital Letter N with cedilla,Table_Latin_Extended-A,TRUE,\u0145,N
U+0146,ņ,Latin Small Letter N with cedilla,Table_Latin_Extended-A,TRUE,\u0146,n
U+0147,Ň,Latin Capital Letter N with caron,Table_Latin_Extended-A,TRUE,\u0147,N
U+0148,ň,Latin Small Letter N with caron,Table_Latin_Extended-A,TRUE,\u0148,n
U+0149,ŉ,Latin Small Letter N preceded by apostrophe[1],Table_Latin_Extended-A,TRUE,\u0149,'n
U+014A,Ŋ,Latin Capital Letter Eng,Table_Latin_Extended-A,TRUE,\u014A,Eng
U+014B,ŋ,Latin Small Letter Eng,Table_Latin_Extended-A,TRUE,\u014B,eng
U+014C,Ō,Latin Capital Letter O with macron,Table_Latin_Extended-A,TRUE,\u014C,O
U+014D,ō,Latin Small Letter O with macron,Table_Latin_Extended-A,TRUE,\u014D,o
U+014E,Ŏ,Latin Capital Letter O with breve,Table_Latin_Extended-A,TRUE,\u014E,O
U+014F,ŏ,Latin Small Letter O with breve,Table_Latin_Extended-A,TRUE,\u014F,o
U+0150,Ő,Latin Capital Letter O with double acute,Table_Latin_Extended-A,TRUE,\u0150,O
U+0151,ő,Latin Small Letter O with double acute,Table_Latin_Extended-A,TRUE,\u0151,o
U+0152,Œ,Latin Capital Ligature OE,Table_Latin_Extended-A,TRUE,\u0152,OE
U+0153,œ,Latin Small Ligature OE,Table_Latin_Extended-A,TRUE,\u0153,oe
U+0154,Ŕ,Latin Capital Letter R with acute,Table_Latin_Extended-A,TRUE,\u0154,R
U+0155,ŕ,Latin Small Letter R with acute,Table_Latin_Extended-A,TRUE,\u0155,r
U+0156,Ŗ,Latin Capital Letter R with cedilla,Table_Latin_Extended-A,TRUE,\u0156,R
U+0157,ŗ,Latin Small Letter R with cedilla,Table_Latin_Extended-A,TRUE,\u0157,r
U+0158,Ř,Latin Capital Letter R with caron,Table_Latin_Extended-A,TRUE,\u0158,R
U+0159,ř,Latin Small Letter R with caron,Table_Latin_Extended-A,TRUE,\u0159,r
U+015A,Ś,Latin Capital Letter S with acute,Table_Latin_Extended-A,TRUE,\u015A,S
U+015B,ś,Latin Small Letter S with acute,Table_Latin_Extended-A,TRUE,\u015B,s
U+015C,Ŝ,Latin Capital Letter S with circumflex,Table_Latin_Extended-A,TRUE,\u015C,S
U+015D,ŝ,Latin Small Letter S with circumflex,Table_Latin_Extended-A,TRUE,\u015D,s
U+015E,Ş,Latin Capital Letter S with cedilla,Table_Latin_Extended-A,TRUE,\u015E,S
U+015F,ş,Latin Small Letter S with cedilla,Table_Latin_Extended-A,TRUE,\u015F,s
U+0160,Š,Latin Capital Letter S with caron,Table_Latin_Extended-A,TRUE,\u0160,S
U+0161,š,Latin Small Letter S with caron,Table_Latin_Extended-A,TRUE,\u0161,s
U+0162,Ţ,Latin Capital Letter T with cedilla,Table_Latin_Extended-A,TRUE,\u0162,T
U+0163,ţ,Latin Small Letter T with cedilla,Table_Latin_Extended-A,TRUE,\u0163,t
U+0164,Ť,Latin Capital Letter T with caron,Table_Latin_Extended-A,TRUE,\u0164,T
U+0165,ť,Latin Small Letter T with caron,Table_Latin_Extended-A,TRUE,\u0165,t
U+0166,Ŧ,Latin Capital Letter T with stroke,Table_Latin_Extended-A,TRUE,\u0166,T
U+0167,ŧ,Latin Small Letter T with stroke,Table_Latin_Extended-A,TRUE,\u0167,t
U+0168,Ũ,Latin Capital Letter U with tilde,Table_Latin_Extended-A,TRUE,\u0168,U
U+0169,ũ,Latin Small Letter U with tilde,Table_Latin_Extended-A,TRUE,\u0169,u
U+016A,Ū,Latin Capital Letter U with macron,Table_Latin_Extended-A,TRUE,\u016A,U
U+016B,ū,Latin Small Letter U with macron,Table_Latin_Extended-A,TRUE,\u016B,u
U+016C,Ŭ,Latin Capital Letter U with breve,Table_Latin_Extended-A,TRUE,\u016C,U
U+016D,ŭ,Latin Small Letter U with breve,Table_Latin_Extended-A,TRUE,\u016D,u
U+016E,Ů,Latin Capital Letter U with ring above,Table_Latin_Extended-A,TRUE,\u016E,U
U+016F,ů,Latin Small Letter U with ring above,Table_Latin_Extended-A,TRUE,\u016F,u
U+0170,Ű,Latin Capital Letter U with double acute,Table_Latin_Extended-A,TRUE,\u0170,U
U+0171,ű,Latin Small Letter U with double acute,Table_Latin_Extended-A,TRUE,\u0171,u
U+0172,Ų,Latin Capital Letter U with ogonek,Table_Latin_Extended-A,TRUE,\u0172,U
U+0173,ų,Latin Small Letter U with ogonek,Table_Latin_Extended-A,TRUE,\u0173,u
U+0174,Ŵ,Latin Capital Letter W with circumflex,Table_Latin_Extended-A,TRUE,\u0174,W
U+0175,ŵ,Latin Small Letter W with circumflex,Table_Latin_Extended-A,TRUE,\u0175,w
U+0176,Ŷ,Latin Capital Letter Y with circumflex,Table_Latin_Extended-A,TRUE,\u0176,Y
U+0177,ŷ,Latin Small Letter Y with circumflex,Table_Latin_Extended-A,TRUE,\u0177,y
U+0178,Ÿ,Latin Capital Letter Y with diaeresis,Table_Latin_Extended-A,TRUE,\u0178,Y
U+0179,Ź,Latin Capital Letter Z with acute,Table_Latin_Extended-A,TRUE,\u0179,Z
U+017A,ź,Latin Small Letter Z with acute,Table_Latin_Extended-A,TRUE,\u017A,z
U+017B,Ż,Latin Capital Letter Z with dot above,Table_Latin_Extended-A,TRUE,\u017B,Z
U+017C,ż,Latin Small Letter Z with dot above,Table_Latin_Extended-A,TRUE,\u017C,z
U+017D,Ž,Latin Capital Letter Z with caron,Table_Latin_Extended-A,TRUE,\u017D,Z
U+017E,ž,Latin Small Letter Z with caron,Table_Latin_Extended-A,TRUE,\u017E,z
U+017F,ſ,Latin Small Letter long S,Table_Latin_Extended-A,TRUE,\u017F,S
U+0180,ƀ,Latin Small Letter B with stroke,Table_Latin_Extended-B,TRUE,\u0180,b
U+0181,Ɓ,Latin Capital Letter B with hook,Table_Latin_Extended-B,TRUE,\u0181,B
U+0182,Ƃ,Latin Capital Letter B with top bar,Table_Latin_Extended-B,TRUE,\u0182,B
U+0183,ƃ,Latin Small Letter B with top bar,Table_Latin_Extended-B,TRUE,\u0183,b
U+0184,Ƅ,Latin Capital Letter Tone Six,Table_Latin_Extended-B,TRUE,\u0184,6
U+0185,ƅ,Latin Small Letter Tone Six,Table_Latin_Extended-B,TRUE,\u0185,6
U+0186,Ɔ,Latin Capital Letter Open O,Table_Latin_Extended-B,TRUE,\u0186,O
U+0187,Ƈ,Latin Capital Letter C with hook,Table_Latin_Extended-B,TRUE,\u0187,C
U+0188,ƈ,Latin Small Letter C with hook,Table_Latin_Extended-B,TRUE,\u0188,c
U+0189,Ɖ,Latin Capital Letter African D,Table_Latin_Extended-B,TRUE,\u0189,D
U+018A,Ɗ,Latin Capital Letter D with hook,Table_Latin_Extended-B,TRUE,\u018A,D
U+018B,Ƌ,Latin Capital Letter D with top bar,Table_Latin_Extended-B,TRUE,\u018B,D
U+018C,ƌ,Latin Small Letter D with top bar,Table_Latin_Extended-B,TRUE,\u018C,d
U+018D,ƍ,Latin Small Letter Turned Delta,Table_Latin_Extended-B,TRUE,\u018D,d
U+018E,Ǝ,Latin Capital Letter Reversed E,Table_Latin_Extended-B,TRUE,\u018E,E
U+018F,Ə,Latin Capital Letter Schwa,Table_Latin_Extended-B,TRUE,\u018F,E
U+0190,Ɛ,Latin Capital Letter Open E,Table_Latin_Extended-B,TRUE,\u0190,E
U+0191,Ƒ,Latin Capital Letter F with hook,Table_Latin_Extended-B,TRUE,\u0191,F
U+0192,ƒ,Latin Small Letter F with hook,Table_Latin_Extended-B,TRUE,\u0192,f
U+0193,Ɠ,Latin Capital Letter G with hook,Table_Latin_Extended-B,TRUE,\u0193,G
U+0194,Ɣ,Latin Capital Letter Gamma,Table_Latin_Extended-B,TRUE,\u0194,G
U+0195,ƕ,Latin Small Letter HV,Table_Latin_Extended-B,TRUE,\u0195,hv
